time_days,depth_cm,water_content,D17O,D18O
2,7.5,0.0096,30,-13.0426
2,35,0.0202,19,-14.0297
2,12.5,0.0099,74,-13.2413
2,27.5,0.0104,82,-13.4486
2,2.5,0.0096,-19,-6.3997
2,22.5,0.0112,25,-13.1175
2,65,0.0357,26,-13.5086
2,95,0.0569,72,-13.6942
2,55,0.0286,6,-13.6014
2,17.5,0.0132,22,-13.1184
20,75,0.05,55,-13.4369
20,85,0.0475,13,-13.2084
20,17.5,0.01,15,-6.8061
20,2.5,0.0008,-99,0.2524
20,22.5,0.0083,13,-10.3328
20,55,0.0269,22,-13.8192
20,95,0.0475,-5,-13.8978
20,7.5,0.01,-199,2.8648
20,12.5,0.007,-44,3.4489
20,35,0.0105,59,-13.6849
20,65,0.0523,47,-13.4528
60,35,0.014,46,-9.7521
60,7.5,0.0012,-125,2.2838
60,22.5,0.0049,-62,-1.0319
60,85,0.0567,33,-13.342
60,2.5,0.0008,-18,-2.9742
60,27.5,0.0079,-35,-4.6805
60,12.5,0.0023,-154,4.3853
60,7.5,0.0012,-127,2.4434
60,17.5,0.0034,-94,3.1365
60,95,0.0623,48,-13.5344
60,45,0.0229,22,-12.8693
60,55,0.0385,68,-13.747
100,27.5,0.0077,-53,-3.0515
100,12.5,0.0014,-134,0.5646
100,17.5,0.0025,-174,1.6638
100,2.5,0.0014,-67,-3.816
100,35,0.0113,-50,-6.0938
100,95,0.0682,-6,-12.9987
100,22.5,0.0035,-91,0.2478
100,55,0.0355,42,-13.0166
100,7.5,0.001,-87,-1.6175
